AER_20200101,2B_AER_KZN_20200101,KZN_FLIGHT
ASF_20200101,2B_ASF_KZN_20200101,KZN_FLIGHT
ASF_20200101,2B_ASF_MRV_20200101,MRV_FLIGHT
CEK_20200101,2B_CEK_KZN_20200101,KZN_FLIGHT
CEK_20200101,2B_CEK_OVB_20200101,OVB_FLIGHT
DME_20200101,2B_DME_KZN_20200101,KZN_FLIGHT
DME_20200101,2B_DME_NBC_20200101,NBC_FLIGHT
DME_20200101,2B_DME_TGK_20200101,TGK_FLIGHT
DME_20200101,2B_DME_UUA_20200101,UUA_FLIGHT
EGO_20200101,2B_EGO_KGD_20200101,KGD_FLIGHT
EGO_20200101,2B_EGO_KZN_20200101,KZN_FLIGHT
GYD_20200101,2B_GYD_NBC_20200101,NBC_FLIGHT
KGD_20200101,2B_KGD_EGO_20200101,EGO_FLIGHT
KZN_20200101,2B_KZN_AER_20200101,AER_FLIGHT
KZN_20200101,2B_KZN_ASF_20200101,ASF_FLIGHT
KZN_20200101,2B_KZN_CEK_20200101,CEK_FLIGHT
KZN_20200101,2B_KZN_DME_20200101,DME_FLIGHT
KZN_20200101,2B_KZN_EGO_20200101,EGO_FLIGHT
KZN_20200101,2B_KZN_LED_20200101,LED_FLIGHT
KZN_20200101,2B_KZN_SVX_20200101,SVX_FLIGHT
LED_20200101,2B_LED_KZN_20200101,KZN_FLIGHT
LED_20200101,2B_LED_NBC_20200101,NBC_FLIGHT
LED_20200101,2B_LED_UUA_20200101,UUA_FLIGHT
MRV_20200101,2B_MRV_ASF_20200101,ASF_FLIGHT
NBC_20200101,2B_NBC_DME_20200101,DME_FLIGHT
NBC_20200101,2B_NBC_GYD_20200101,GYD_FLIGHT
NBC_20200101,2B_NBC_LED_20200101,LED_FLIGHT
NBC_20200101,2B_NBC_SVX_20200101,SVX_FLIGHT
NJC_20200101,2B_NJC_SVX_20200101,SVX_FLIGHT
NJC_20200101,2B_NJC_UUA_20200101,UUA_FLIGHT
NUX_20200101,2B_NUX_SVX_20200101,SVX_FLIGHT
OVB_20200101,2B_OVB_CEK_20200101,CEK_FLIGHT
OVB_20200101,2B_OVB_SVX_20200101,SVX_FLIGHT
SVX_20200101,2B_SVX_KZN_20200101,KZN_FLIGHT
