2B_AER_KZN_20200127,184800.000+0300,P02H07M,1508,2953
2B_ASF_KZN_20200127,015700.000+0400,P01H27M,1041,2038
2B_ASF_MRV_20200127,061800.000+0400,P00H37M,449,959
2B_CEK_KZN_20200127,084500.000+0500,P01H04M,771,1647
2B_CEK_OVB_20200127,080900.000+0500,P01H52M,1340,2385
2B_DME_KZN_20200127,093400.000+0300,P01H00M,716,1274
2B_DME_NBC_20200127,162800.000+0300,P01H15M,893,1590
2B_DME_TGK_20200127,035000.000+0300,P01H17M,916,1957
2B_DME_UUA_20200127,161300.000+0300,P01H20M,952,2033
2B_EGO_KGD_20200127,184500.000+0300,P01H39M,1173,2506
2B_EGO_KZN_20200127,201300.000+0300,P01H25M,1009,1796
2B_GYD_NBC_20200127,051800.000+0400,P02H22M,1687,3603
2B_KGD_EGO_20200127,083800.000+0200,P01H39M,1173,2506
2B_KZN_AER_20200127,220800.000+0300,P02H07M,1508,2684
2B_KZN_ASF_20200127,050400.000+0300,P01H27M,1041,2224
2B_KZN_CEK_20200127,054200.000+0300,P01H04M,771,1647
2B_KZN_DME_20200127,093200.000+0300,P01H00M,716,1274
2B_KZN_EGO_20200127,111600.000+0300,P01H25M,1009,2155
2B_KZN_LED_20200127,100000.000+0300,P01H42M,1218,2168
2B_KZN_SVX_20200127,134500.000+0300,P01H01M,724,1289
2B_LED_KZN_20200127,155200.000+0300,P01H42M,1218,2385
2B_LED_NBC_20200127,195500.000+0300,P01H55M,1374,2446
2B_LED_UUA_20200127,163300.000+0300,P02H03M,1465,2868
2B_MRV_ASF_20200127,071600.000+0300,P00H37M,449,959
2B_NBC_DME_20200127,020400.000+0300,P01H15M,893,1748
2B_NBC_GYD_20200127,025700.000+0300,P02H22M,1687,3003
2B_NBC_LED_20200127,140800.000+0300,P01H55M,1374,2446
2B_NBC_SVX_20200127,141500.000+0300,P00H46M,555,1185
2B_NJC_SVX_20200127,072600.000+0500,P01H25M,1013,1983
2B_NJC_UUA_20200127,081900.000+0500,P02H11M,1559,3330
2B_NUX_SVX_20200127,025500.000+0500,P01H51M,1326,2360
